"initial","final","genes","values"
"Th2R","Th2R","IL2",0
"Th2R","Th2R","IL2",1
"Th2R","Th2R","IL2e",1
"Th2R","Th2R","IL2e",1
"Th2R","Th2R","IL4",1
"Th2R","Th2R","IL4",1
"Th2R","Th2R","IL4e",0
"Th2R","Th2R","IL4e",0
"Th2R","Th2R","IL6e",0
"Th2R","Th2R","IL6e",0
"Th2R","Th2R","SOCS1",0
"Th2R","Th2R","SOCS1",0
"Th2R","Th2R","SOCS2",0
"Th2R","Th2R","SOCS2",0
"Th2R","Th2R","SOCS3",0
"Th2R","Tr*","RORGT",1
"Th2R","Tr*","RORGT",1
"Th2R","Tr","GATA3",0
"Th2R","Tr","GATA3",0
"Th2R","Tr","IL6",1
"Th2R","Tr","IL6",1
"Th2R","Tr","SOCS3",0
"Th2R","Tr","TGFB",1
"Th2R","Tr","TGFB",1
"Th2R","Tr","TGFBe",1
"Th2R","Tr","TGFBe",1
"Th2R","Treg","FOXP3",1
"Th2R","Treg","FOXP3",1
"Tr","Tex","TCR",0
"Tr","Tex","TCR",0
"Tr","Tex","TCR",0
"Tr","Tex","IL10",0
"Tr","Tex","IL10",0
"Tr","Tex","IL10",0
"Tr","Tex","IL10e",0
"Tr","Tex","IL10e",0
"Tr","Tr*","RORGT",1
"Tr","Tr*","RORGT",1
"Tr","Tr*","RORGT",1
"Tr","Th1R","IFNG",1
"Tr","Th1R","IFNG",1
"Tr","Th1R","IFNG",1
"Tr","Th1R","TBET",1
"Tr","Th1R","TBET",1
"Tr","Th1R","TBET",1
"Tr","Th2R","GATA3",1
"Tr","Th2R","GATA3",1
"Tr","Th2R","GATA3",1
"Tr","Th2R","IL12e",0
"Tr","Th2R","IL4",1
"Tr","Tr","IFNGe",0
"Tr","Tr","IFNGe",0
"Tr","Tr","IFNGe",0
"Tr","Tr","IL10e",0
"Tr","Tr","IL12e",0
"Tr","Tr","IL12e",0
"Tr","Tr","IL2",0
"Tr","Tr","IL2",1
"Tr","Tr","IL2e",1
"Tr","Tr","IL2e",1
"Tr","Tr","IL2e",1
"Tr","Tr","IL4",1
"Tr","Tr","IL4",1
"Tr","Tr","IL4e",0
"Tr","Tr","IL4e",0
"Tr","Tr","IL4e",0
"Tr","Tr","IL6",1
"Tr","Tr","IL6",1
"Tr","Tr","IL6",1
"Tr","Tr","IL6e",0
"Tr","Tr","IL6e",0
"Tr","Tr","IL6e",0
"Tr","Tr","SOCS1",0
"Tr","Tr","SOCS1",0
"Tr","Tr","SOCS1",0
"Tr","Tr","SOCS2",0
"Tr","Tr","SOCS2",0
"Tr","Tr","SOCS2",0
"Tr","Tr","SOCS3",0
"Tr","Tr","SOCS3",0
"Tr","Tr","SOCS3",0
"Tr","Tr","TGFB",0
"Tr","Tr","TGFB",1
"Tr","Tr","TGFB",1
"Tr","Tr","TGFBe",1
"Tr","Tr","TGFBe",1
"Tr","Tr","TGFBe",1
"Tr","Treg","FOXP3",1
"Tr","Treg","FOXP3",1
"Tr","Treg","FOXP3",1
"Tr","Treg","IL2",1
